,id,cloud_cover,source,aoi_code,percentage_valid_pixels,geometry
0,2021-08-13,0.02,landsat,AOI01,1.0,"POLYGON ((147.09959654580408 -31.244618412374592, 147.30959654580408 -31.244618412374592, 147.30959654580408 -31.03461841237459, 147.09959654580408 -31.03461841237459, 147.09959654580408 -31.244618412374592))"
1,2021-08-29,14.17,landsat,AOI01,1.0,"POLYGON ((147.09959654580408 -31.244618412374592, 147.30959654580408 -31.244618412374592, 147.30959654580408 -31.03461841237459, 147.09959654580408 -31.03461841237459, 147.09959654580408 -31.244618412374592))"
2,2021-08-04,1.96,landsat,AOI01,0.2793058483698508,"POLYGON ((147.09959654580408 -31.244618412374592, 147.30959654580408 -31.244618412374592, 147.30959654580408 -31.03461841237459, 147.09959654580408 -31.03461841237459, 147.09959654580408 -31.244618412374592))"
3,2021-08-20,0.01,landsat,AOI01,0.2761283403702215,"POLYGON ((147.09959654580408 -31.244618412374592, 147.30959654580408 -31.244618412374592, 147.30959654580408 -31.03461841237459, 147.09959654580408 -31.03461841237459, 147.09959654580408 -31.244618412374592))"
4,2021-08-13,0.02,landsat,AOI01,1.0,"POLYGON ((147.09959654580408 -31.04461841237459, 147.30959654580408 -31.04461841237459, 147.30959654580408 -30.83461841237459, 147.09959654580408 -30.83461841237459, 147.09959654580408 -31.04461841237459))"
5,2021-08-29,14.17,landsat,AOI01,1.0,"POLYGON ((147.09959654580408 -31.04461841237459, 147.30959654580408 -31.04461841237459, 147.30959654580408 -30.83461841237459, 147.09959654580408 -30.83461841237459, 147.09959654580408 -31.04461841237459))"
6,2021-08-04,1.96,landsat,AOI01,0.5215987902079016,"POLYGON ((147.09959654580408 -31.04461841237459, 147.30959654580408 -31.04461841237459, 147.30959654580408 -30.83461841237459, 147.09959654580408 -30.83461841237459, 147.09959654580408 -31.04461841237459))"
7,2021-08-20,0.01,landsat,AOI01,0.518509723511732,"POLYGON ((147.09959654580408 -31.04461841237459, 147.30959654580408 -31.04461841237459, 147.30959654580408 -30.83461841237459, 147.09959654580408 -30.83461841237459, 147.09959654580408 -31.04461841237459))"
8,2021-08-13,2.36,landsat,AOI02,1.0,"POLYGON ((147.4996031608572 -32.44460560526437, 147.7096031608572 -32.44460560526437, 147.7096031608572 -32.23460560526437, 147.4996031608572 -32.23460560526437, 147.4996031608572 -32.44460560526437))"
9,2021-08-29,56.97,landsat,AOI02,1.0,"POLYGON ((147.4996031608572 -32.44460560526437, 147.7096031608572 -32.44460560526437, 147.7096031608572 -32.23460560526437, 147.4996031608572 -32.23460560526437, 147.4996031608572 -32.44460560526437))"
10,2021-08-13,0.02,landsat,AOI02,1.0,"POLYGON ((147.4996031608572 -30.444605605264343, 147.7096031608572 -30.444605605264343, 147.7096031608572 -30.234605605264342, 147.4996031608572 -30.234605605264342, 147.4996031608572 -30.444605605264343))"
11,2021-08-29,14.17,landsat,AOI02,1.0,"POLYGON ((147.4996031608572 -30.444605605264343, 147.7096031608572 -30.444605605264343, 147.7096031608572 -30.234605605264342, 147.4996031608572 -30.234605605264342, 147.4996031608572 -30.444605605264343))"
12,2021-08-13,0.02,landsat,AOI0289,1.0,"POLYGON ((147.09959654580408 -30.844618412374587, 147.30959654580408 -30.844618412374587, 147.30959654580408 -30.634618412374586, 147.09959654580408 -30.634618412374586, 147.09959654580408 -30.844618412374587))"
13,2021-08-29,14.17,landsat,AOI0289,1.0,"POLYGON ((147.09959654580408 -30.844618412374587, 147.30959654580408 -30.844618412374587, 147.30959654580408 -30.634618412374586, 147.09959654580408 -30.634618412374586, 147.09959654580408 -30.844618412374587))"
14,2021-08-04,1.96,landsat,AOI0289,0.763331287697974,"POLYGON ((147.09959654580408 -30.844618412374587, 147.30959654580408 -30.844618412374587, 147.30959654580408 -30.634618412374586, 147.09959654580408 -30.634618412374586, 147.09959654580408 -30.844618412374587))"
15,2021-08-20,0.01,landsat,AOI0289,0.760160884429572,"POLYGON ((147.09959654580408 -30.844618412374587, 147.30959654580408 -30.844618412374587, 147.30959654580408 -30.634618412374586, 147.09959654580408 -30.634618412374586, 147.09959654580408 -30.844618412374587))"
16,2021-08-06,54.69,landsat,AOI0299,0.11851375613738727,"POLYGON ((147.69960316085718 -32.44460560526437, 147.9096031608572 -32.44460560526437, 147.9096031608572 -32.23460560526437, 147.69960316085718 -32.23460560526437, 147.69960316085718 -32.44460560526437))"
17,2021-08-22,10.8,landsat,AOI0299,0.11387220154803157,"POLYGON ((147.69960316085718 -32.44460560526437, 147.9096031608572 -32.44460560526437, 147.9096031608572 -32.23460560526437, 147.69960316085718 -32.23460560526437, 147.69960316085718 -32.44460560526437))"
18,2021-08-13,2.36,landsat,AOI0299,1.0,"POLYGON ((147.69960316085718 -32.44460560526437, 147.9096031608572 -32.44460560526437, 147.9096031608572 -32.23460560526437, 147.69960316085718 -32.23460560526437, 147.69960316085718 -32.44460560526437))"
19,2021-08-29,56.97,landsat,AOI0299,1.0,"POLYGON ((147.69960316085718 -32.44460560526437, 147.9096031608572 -32.44460560526437, 147.9096031608572 -32.23460560526437, 147.69960316085718 -32.23460560526437, 147.69960316085718 -32.44460560526437))"
20,2021-08-06,54.69,landsat,AOI03,0.0,"POLYGON ((147.69960316085718 -32.24460560526437, 147.9096031608572 -32.24460560526437, 147.9096031608572 -32.03460560526437, 147.69960316085718 -32.03460560526437, 147.69960316085718 -32.24460560526437))"
